Country,Parliament type,Voluntary political party quotas,Single/Lower House > Quota type,Upper house > Quota type,Sub-National Level > Quota type,Single/Lower House > Constitutional quota details,Upper house > Constitutional quota details,Sub-National Level > Constitutional quota details,Single/Lower House > Electoral law quota details,Upper house > Electoral law quota details,Sub-National Level > Electoral law quota details
Afghanistan,Bicameral,No,Reserved seats,No legislated,Reserved seats,Yes,Yes,No,Yes,No,Yes
Albania,Unicameral,,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Algeria,Bicameral,No,Legislated Candidate Quotas,No legislated,Reserved seats,No,No,No,Yes,No,Yes
Angola,Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Argentina,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,Yes,Yes,Yes,Yes,Yes,Yes
Armenia,Unicameral,No,Legislated Candidate Quotas,,No legislated,No,,No,Yes,No,No
Australia,Bicameral,Yes,No legislated,No legislated,No legislated,No,No,No,No,No,No
Austria,Bicameral,Yes,No legislated,No legislated,No legislated,No,No,No,No,No,No
Bangladesh,Unicameral,No,Reserved seats,,Reserved seats,Yes,,Yes,No,No,No
Belgium,Bicameral,No,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,No,No,Yes,Yes,Yes
Bolivia,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,Yes,Yes
Bosnia and Herzegovina,Bicameral,No,Legislated Candidate Quotas,No legislated,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Botswana,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Brazil,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Bulgaria,Unicameral,Yes,,,,,,,,,
Burkina Faso,Bicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Burundi,Bicameral,No,Reserved seats,Reserved seats,Reserved seats,Yes,Yes,No,Yes,Yes,Yes
Cameroon,Bicameral,Yes,No legislated,Legislated Candidate Quotas,No legislated,No,,No,Yes,No,No
Canada,Bicameral,Yes,No legislated,No legislated,No legislated,No,,No,No,No,No
Cape Verde,Unicameral,No,No legislated,,Legislated Candidate Quotas,,,,Yes,,Yes
Chile,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,No legislated,Yes,,No,Yes,Yes,No
China,Unicameral,No,Reserved seats,,No legislated,No,,No,Yes,No,No
Colombia,Bicameral,No,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,Yes,Yes
Costa Rica,Unicameral,Yes,Legislated Candidate Quotas,,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Cote d'Ivoire,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Croatia,Unicameral,Yes,Legislated Candidate Quotas,,No legislated,Yes,,No,Yes,No,No
Cyprus,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Djibouti,Unicameral,No,Reserved seats,,No legislated,No,,No,Yes,No,No
Dominican Republic,Bicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,Yes,,Yes,Yes,No,Yes
