ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,time,obs_value,note_indicator,note_indicator.label,note_source,note_source.label
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2014,6.37,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2017,4.26,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2017,4.05,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BB:13366,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2004,29.52,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BB:13366,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2009,14.78,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BB:13366,AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2011,31.85,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,AGO - LFS - Inquérito ao Emprego em Angola,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2010,29.76,,,,
AGO,Angola,AA:835,AGO - PC - Recensements de population,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2014,19.52,,,,
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2007,22.81,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2007,20.47,I11:264,Break in series: Methodology revised,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2008,24.43,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2008,23.74,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2009,21.98,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2009,22.47,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2010,16.25,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2010,19.1,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2012,14.71,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2012,16.07,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2013,29.3,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2013,31.93,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2014,20.62,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2014,18.68,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2015,19.28,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2015,19.76,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2016,24.02,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2016,24.14,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2017,22.65,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2017,22.65,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2018,31.6,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2018,29.25,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2019,41.34,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,BA:480,ALB - LFS - Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2019,34.11,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2008,9.95,,,S3:13,Data reference period: February
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2016,14.57,,,T3:95,Age coverage - maximum age: 65 years old
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2017,12.17,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2017,12.47,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2018,15.75,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2018,15.78,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2019,21.51,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,AA:858,ARE - PC - Population census,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2005,10.17,,,S3:23,Data reference period: December
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2000,27.4,I11:264,Break in series: Methodology revised,S3:25_S4:33_T2:239,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2001,27.17,I11:264,Break in series: Methodology revised,S3:25_S4:33_T2:239,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2002,25.77,I11:264,Break in series: Methodology revised,S3:25_S4:33_T2:239,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2003,28.95,I11:266,Break in series: Other or unspecified type of break,S3:7_S4:33_T2:239,Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2004,28.61,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2004,27.44,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2005,26.26,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2005,26.43,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2006,29.41,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2006,27.77,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2008,29.93,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2008,27.86,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
